track,domain,system_id,embedding_model,generator_model,failure_type,count
end-to-end,general-docs,dense-vector,finance-e5-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,dense-vector,finance-e5-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,dense-vector,finance-e5-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid,bge-m3-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid,bge-m3-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid,bge-m3-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid,e5-large-v2-proxy,balanced-oss-llm,context_bloat,3
end-to-end,general-docs,hybrid,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid,e5-large-v2-proxy,extractive-strict,context_bloat,4
end-to-end,general-docs,hybrid,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,3
end-to-end,general-docs,hybrid,e5-large-v2-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid,finance-e5-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid,finance-e5-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid,finance-e5-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,hybrid,finance-e5-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid,finance-e5-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid-rerank,bge-m3-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid-rerank,bge-m3-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid-rerank,bge-m3-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,hybrid-rerank,bge-m3-proxy,reasoning-oss-llm,context_bloat,2
